Vàng da,"Tôi có thể bị ngứa, nôn, mệt mỏi, sụt cân, sốt cao, da vàng, nước tiểu sẫm màu, đau bụng."
Cường giáp,"Tôi có thể bị mệt mỏi, sụt cân, bồn chồn, đổ mồ hôi, tiêu chảy, nhịp tim nhanh, đói quá mức, yếu cơ, cáu kỉnh, kinh nguyệt bất thường."
Trĩ hỗn hợp (lòi dom),"Tôi có thể bị táo bón, đau khi đi tiêu, đau vùng hậu môn, phân có máu, kích ứng ở hậu môn."
Bệnh lao,"Tôi có thể bị ớn lạnh, nôn mửa, mệt mỏi, sụt cân, ho, sốt cao, đổ mồ hôi, chán ăn, sốt nhẹ, vàng mắt, sưng hạch bạch huyết, khó chịu, đờm, đau ngực, có máu trong đờm."
Viêm gan do rượu,"Tôi có thể bị nôn mửa, da vàng, đau bụng, chướng bụng, tiền sử uống rượu, thừa dịch."
Đau tim,"Tôi có thể bị nôn, khó thở, đổ mồ hôi, đau ngực."
Gerd,"Tôi có thể bị đau dạ dày, ợ nóng, loét lưỡi, nôn mửa, ho, đau ngực"
Sốt xuất huyết,"Tôi có thể bị phát ban da, ớn lạnh, đau khớp, nôn mửa, mệt mỏi, sốt cao, nhức đầu, buồn nôn, chán ăn, đau sau mắt, đau lưng, khó chịu, đau cơ, đốm đỏ trên cơ thể."
Liệt (Xuất huyết não),"Tôi có thể bị nôn mửa, đau đầu, thay đổi cảm giác"
Nhiễm trùng đường tiết niệu,"Tôi có thể bị tiểu buốt, khó chịu ở bàng quang, cảm giác liên tục đi tiểu"
chốc lở,"Tôi có thể bị phát ban da, sốt cao, phồng rộp, lở đỏ quanh mũi, rỉ dịch vảy vàng"
Bệnh ứ mật mãn tính,"Tôi có thể bị ngứa, da vàng, buồn nôn, chán ăn, đau bụng, vàng mắt"
Bệnh loét dạ dày tá tràng,"Tôi có thể bị đau bụng hoặc khó chịu, tình trạng này tệ hơn khi tôi ăn hoặc uống. Tôi chán ăn và cảm thấy mệt mỏi sau khi đi vệ sinh. Tôi cảm thấy rất mệt mỏi mọi lúc"
Bệnh loét dạ dày tá tràng,"Tôi có thể bị nóng rát ở dạ dày. Cảm giác tệ hơn khi tôi ăn hoặc uống. Tôi cũng bị ợ nóng, khó tiêu và buồn nôn."
Sốt rét,"Tôi có thể bị ớn lạnh, nôn mửa, sốt cao, đổ mồ hôi, đau đầu, buồn nôn, tiêu chảy, đau cơ"
chốc lở,"Tôi có thể bị phát ban da, sốt cao, phồng rộp, lở đỏ quanh mũi, rỉ dịch vảy vàng"
Viêm dạ dày ruột,"Tôi có thể bị nôn mửa, mắt trũng sâu, mất nước, tiêu chảy"
Vàng da,"Tôi có thể bị ngứa , nôn, mệt mỏi, sụt cân, sốt cao, da vàng, nước tiểu sẫm màu, đau bụng"
Gerd,"Tôi có thể bị đau dạ dày, ợ nóng, loét lưỡi, nôn mửa, ho, đau ngực"
Tĩnh mạch giãn,"Tôi có thể bị mệt mỏi, chuột rút, bầm tím, béo phì, chân bị sưng, tĩnh mạch nổi rõ ở bắp chân"
Viêm gan E,"Tôi có thể bị đau khớp, mệt mỏi, sốt cao, da vàng, nước tiểu sẫm màu, buồn nôn, chán ăn, đau bụng, vàng mắt, suy gan cấp, hôn mê, chảy máu dạ dày"
